,geo_h3_10,city,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified
334,8a0bb02219a7fff,Новосибирск,0,0,0,0,0,1,0,0
335,8a0bb02219affff,Новосибирск,0,0,0,0,0,0,0,0
336,8a0bb02219b7fff,Новосибирск,0,0,0,0,0,1,0,0
337,8a0bb0221a0ffff,Новосибирск,0,0,0,0,0,0,0,0
338,8a0bb0221a1ffff,Новосибирск,0,0,6,0,1,0,0,0
339,8a0bb0221a2ffff,Новосибирск,0,0,2,0,0,0,0,0
340,8a0bb0221a47fff,Новосибирск,0,0,0,0,0,2,0,1
341,8a0bb0221a4ffff,Новосибирск,0,0,0,0,0,0,0,0
342,8a0bb0221a57fff,Новосибирск,0,0,0,0,0,0,0,0
343,8a0bb0221a5ffff,Новосибирск,0,0,0,0,0,0,0,0
344,8a0bb0221a67fff,Новосибирск,0,0,0,0,0,0,0,0
345,8a0bb0221a6ffff,Новосибирск,0,0,0,0,0,3,0,5
346,8a0bb0221a77fff,Новосибирск,0,0,0,0,0,1,0,1
347,8a0bb0221ac7fff,Новосибирск,0,0,0,0,0,0,0,0
348,8a0bb0221acffff,Новосибирск,0,0,0,0,0,0,0,0
349,8a0bb0221adffff,Новосибирск,0,0,0,0,0,0,0,0
350,8a0bb0221ae7fff,Новосибирск,0,0,0,0,1,0,0,0
351,8a0bb0221aeffff,Новосибирск,0,0,0,0,7,0,0,0
352,8a0bb0221af7fff,Новосибирск,0,0,2,0,0,0,0,0
353,8a0bb0221b4ffff,Новосибирск,0,0,0,0,0,2,0,1
354,8a0bb0221b57fff,Новосибирск,0,0,3,0,3,0,0,9
355,8a0bb0221b5ffff,Новосибирск,0,0,0,0,0,1,0,1
356,8a0bb0221b77fff,Новосибирск,0,0,5,0,1,0,0,0
357,8a0bb0221b87fff,Новосибирск,0,0,0,0,0,0,0,5
358,8a0bb0221ba7fff,Новосибирск,0,0,0,0,0,0,0,0
359,8a0bb0221c0ffff,Новосибирск,0,0,0,0,0,0,0,0
360,8a0bb0221c17fff,Новосибирск,0,0,0,0,0,0,0,1
361,8a0bb0221c47fff,Новосибирск,0,0,0,0,0,2,0,0
362,8a0bb0221c4ffff,Новосибирск,0,0,0,0,0,0,0,0
363,8a0bb0221c57fff,Новосибирск,0,0,0,0,0,1,0,0
364,8a0bb0221c5ffff,Новосибирск,0,0,0,0,0,0,0,0
365,8a0bb0221c67fff,Новосибирск,0,0,0,0,0,4,0,0
366,8a0bb0221c6ffff,Новосибирск,0,0,0,0,0,2,0,0
367,8a0bb0221c77fff,Новосибирск,0,0,0,0,0,0,0,0
368,8a0bb0221ca7fff,Новосибирск,0,0,0,0,0,0,0,0
369,8a0bb0221ce7fff,Новосибирск,0,0,0,0,0,0,0,0
370,8a0bb0221ceffff,Новосибирск,0,0,0,0,0,0,0,0
371,8a0bb0221d2ffff,Новосибирск,0,0,0,0,0,0,0,0
372,8a0bb0221d4ffff,Новосибирск,0,0,0,0,0,0,0,0
373,8a0bb0221d6ffff,Новосибирск,0,0,0,0,0,0,0,0
374,8a0bb0221d87fff,Новосибирск,0,0,0,0,0,0,0,0
375,8a0bb0221d8ffff,Новосибирск,0,0,0,0,0,0,0,5
